"subject","predicate","object"
"https://w3id.org/arco/resource/RelatedWorkSituation/0900478645-related-cultural-property-2-1","https://w3id.org/arco/ontology/context-description/isRelatedWorkSituationOf","https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645"
"https://w3id.org/arco/resource/Title/0900478645-pianta-e-profilo-del-pozzo","https://w3id.org/arco/ontology/context-description/isTitleOf","https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645"
"https://w3id.org/arco/resource/Address/97f8b95d623543ba6c52da5c274abebd","https://w3id.org/arco/ontology/location/isCulturalPropertyAddressOf","https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://w3id.org/arco/ontology/arco/HistoricOrArtisticProperty"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://w3id.org/arco/ontology/arco/MovableCulturalProperty"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","http://www.w3.org/2000/01/rdf-schema#label","pianta e prospetto del pozzo di San Patrizio a Orvieto (stampa, elemento d'insieme) - ambito toscano (sec. XVIII)"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","http://www.w3.org/2000/01/rdf-schema#label","pianta e prospetto del pozzo di San Patrizio a Orvieto (stampa, elemento d'insieme) - ambito toscano (sec. XVIII)"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","http://www.w3.org/2000/01/rdf-schema#comment","stampa, stampa di traduzione, elemento d'insieme pianta e prospetto del pozzo di San Patrizio a Orvieto"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","http://purl.org/dc/elements/1.1/date","1791-1791"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","http://purl.org/dc/elements/1.1/description","Personaggi"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","http://purl.org/dc/elements/1.1/title","stampa (stampa di traduzione, elemento d'insieme)"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/arco/catalogueNumber","00478645"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/arco/hasCataloguingAgency","https://w3id.org/arco/resource/Agent/856deecf45fa4ace6b5b49bd4ad54acf"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/arco/hasCulturalPropertyCataloguingCategory","https://w3id.org/arco/resource/CulturalPropertyCataloguingCategory/elemento-dinsieme"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/arco/hasHeritageProtectionAgency","https://w3id.org/arco/resource/Agent/915d8e5f5aa33e478d196ebc77dc5955"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/arco/regionIdentifier","09"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/arco/uniqueIdentifier","0900478645"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/catalogue/isDescribedByCatalogueRecord","https://w3id.org/arco/resource/CatalogueRecordS/0900478645"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasAcquisition","https://w3id.org/arco/resource/Acquisition/0900478645-acquisition-1"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasAuthorshipAttribution","https://w3id.org/arco/resource/CulturalScopeAttribution/0900478645-cultural-scope-attribution-1"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasBibliography","https://w3id.org/arco/resource/Bibliography/0900478645-bibliography-4"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasBibliography","https://w3id.org/arco/resource/Bibliography/0900478645-bibliography-2"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasBibliography","https://w3id.org/arco/resource/Bibliography/0900478645-bibliography-3"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasBibliography","https://w3id.org/arco/resource/Bibliography/0900478645-bibliography-1"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasDating","https://w3id.org/arco/resource/Dating/0900478645-1"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasDocumentation","https://w3id.org/arco/resource/PhotographicDocumentation/0900478645-photographic-documentation-1"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasEdition","https://w3id.org/arco/resource/Edition/0900478645-1791-rm-roma"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478645","https://w3id.org/arco/ontology/context-description/hasLegalSituation","https://w3id.org/arco/resource/LegalSituation/0900478645-legal-situation-proprieta-stato"
